,customerid,count,country,state,city,zip_code,lat_long,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn_score,cltv,churn_reason,gender_female,gender_male,internet_svc_none,internet_svc_dsl,internet_svc_fiber,contract_mtm,contract_1yr,contract_2yr,pmt_meth_bank_trx_auto,pmt_meth_cc_auto,pmt_meth_echeck,pmt_meth_mail_check,churn_rsn_grp_cust_svc,churn_rsn_grp_moved,churn_rsn_grp_pricing,churn_rsn_grp_product,churn_rsn_grp_unknown,p1_phone_only,p2_phone_multi,p3_dsl_only,p4_dsl_plus,p5_dsl_bund_core,p6_dsl_bund_plus,p7_fib_bund_core,p8_fib_bund_plus,charge_trend_index,streams,pmt_meth_auto,svc_add_ons,charge_cust_index,tenure_1yr,tenure_2-4yr,tenure_4+yr,churn_value
2857,2017-CCBLH,1,United States,California,Weott,95571,"40.310119, -123.909449",0,0,0,8,1,0,0,0,0,0,0,0,0,20.0,141.6,71,3087,,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.13,0,0,0,1.1,1,0,0,0
6989,7789-CRUVC,1,United States,California,San Diego,92107,"32.741852, -117.243453",1,1,0,61,1,1,1,1,1,1,0,0,1,94.2,5895.45,76,5274,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.97,0,1,5,0.86,0,0,1,0
752,5696-QURRL,1,United States,California,Waterford,95386,"37.669516, -120.626964",0,0,0,1,1,0,0,0,0,0,0,0,1,45.05,45.05,73,2644,Network reliability,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,0,0,0,0.98,1,0,0,1
731,6023-YEBUP,1,United States,California,Stockton,95210,"38.033219, -121.297433",0,0,0,3,1,1,0,0,1,0,1,1,1,100.95,329.95,81,5351,Competitor offered higher download speeds,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.92,2,0,2,1.07,1,0,0,1
4060,8648-PFRMP,1,United States,California,Ferndale,95536,"40.4785, -124.301372",1,0,0,14,0,0,0,0,0,0,1,1,1,46.35,672.7,44,2056,,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.96,2,0,0,1.66,0,1,0,0
5684,7721-DVEKZ,1,United States,California,Thousand Oaks,91360,"34.214054, -118.88109",0,0,0,1,1,0,0,0,0,0,0,0,0,19.65,19.65,73,4639,,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,1.08,1,0,0,0
1768,1389-CXMLU,1,United States,California,Downey,90242,"33.921793, -118.140588",1,0,0,3,1,1,0,0,1,0,1,0,0,91.05,289.1,99,2194,Competitor made better offer,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.94,1,0,2,0.97,1,0,0,1
974,6688-UZPWD,1,United States,California,Palm Springs,92262,"33.839989, -116.659215",0,1,0,11,1,1,0,1,0,0,1,1,1,102.0,1145.35,88,5750,Competitor offered more data,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.98,2,0,2,1.13,1,0,0,1
546,2189-UXTKY,1,United States,California,La Quinta,92253,"33.695532, -116.310571",0,1,0,22,1,1,1,0,0,1,1,1,1,79.2,1742.75,91,3410,Product dissatisfaction,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,2,0,3,1.26,0,1,0,1
455,7551-JOHTI,1,United States,California,Malibu,90265,"34.074572, -118.831181",0,0,0,1,1,0,0,0,0,0,0,0,0,19.5,19.5,77,5211,Attitude of support person,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,1.07,1,0,0,1
4533,4488-KQFDT,1,United States,California,Lemon Grove,91945,"32.733564, -117.033713",0,0,0,61,1,1,0,1,1,0,1,1,1,103.95,6423.0,59,4148,,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,2,0,3,1.04,0,0,1,0
2075,3179-GBRWV,1,United States,California,San Gabriel,91775,"34.114772, -118.089431",1,1,0,21,1,0,1,1,0,0,0,1,1,64.95,1339.8,23,4604,,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.02,1,1,2,1.18,0,1,0,0
1560,6172-FECYY,1,United States,California,Antioch,94509,"37.980057, -121.801599",0,1,0,49,1,1,0,0,0,0,1,0,0,84.5,4254.85,85,4639,Competitor offered more data,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.97,1,0,1,1.0,0,0,1,1
388,7079-QRCBC,1,United States,California,Sacramento,95864,"38.585826, -121.376263",0,0,0,24,1,1,0,0,1,0,1,1,1,98.75,2407.3,85,4016,Competitor had better devices,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.98,2,0,2,1.05,0,1,0,1
5742,5902-WBLSE,1,United States,California,Bonita,91902,"32.67117, -117.00232",0,1,1,70,1,0,0,0,0,0,0,0,1,20.15,1411.2,67,5219,,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,1,0,1.1,0,0,1,0
3006,2429-AYKKO,1,United States,California,Redding,96003,"40.677649, -122.29467",0,0,0,72,1,0,0,0,0,0,0,0,0,19.85,1434.1,22,4790,,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,1,0,1.09,0,0,1,0
1956,5256-SKJGO,1,United States,California,Whittier,90603,"33.945318, -117.992066",0,1,0,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,35,4850,,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.02,2,0,2,1.38,0,0,1,0
2270,8905-IAZPF,1,United States,California,Capistrano Beach,92624,"33.458754, -117.665104",0,1,0,69,1,0,0,1,0,0,1,1,1,95.65,6744.2,45,5251,,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.98,2,1,1,1.16,0,0,1,0
6731,8344-WFMFH,1,United States,California,Los Angeles,90008,"34.008293, -118.346766",0,0,1,9,1,0,0,1,0,0,0,0,1,50.1,484.05,56,4738,,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.93,0,0,1,0.97,1,0,0,0
2191,7781-HVGMK,1,United States,California,Amboy,92304,"34.559882, -115.637164",0,1,0,72,0,0,1,1,1,1,1,1,1,65.2,4784.45,27,5092,,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.98,2,1,4,1.24,0,0,1,0
2002,1744-JHKYS,1,United States,California,Pasadena,91105,"34.13946, -118.166649",0,1,0,34,1,1,0,0,0,0,0,0,0,24.7,780.2,72,3421,,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.08,0,0,1,0.96,0,1,0,0
1377,8634-CILSZ,1,United States,California,Jamul,91935,"32.695681, -116.798386",0,0,0,69,1,1,0,1,0,1,1,1,1,104.7,7220.35,71,6350,Competitor offered higher download speeds,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,2,1,3,1.09,0,0,1,1
6171,2905-KFQUV,1,United States,California,Moss Beach,94038,"37.515556, -122.502311",0,1,0,2,1,0,0,0,0,0,0,0,1,70.4,154.8,39,5748,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.91,0,1,0,0.91,1,0,0,0
215,2207-NHRJK,1,United States,California,Carmel,93923,"36.460611, -121.852507",0,0,0,1,1,0,0,1,0,0,0,0,0,50.8,50.8,85,3718,Competitor offered higher download speeds,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,0,0,1,0.98,1,0,0,1
629,5236-PERKL,1,United States,California,Pearblossom,93553,"34.445239, -117.894868",0,0,0,57,1,1,1,1,1,0,1,1,1,112.95,6465.0,89,4738,Competitor offered higher download speeds,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,2,1,4,1.09,0,0,1,1
4255,3567-PQTSO,1,United States,California,Junction City,96048,"40.913192, -123.06597",0,1,1,53,1,1,0,1,1,0,1,1,1,105.25,5576.3,56,6365,,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,0,3,1.05,0,0,1,0
5520,4973-MGTON,1,United States,California,Topaz,96133,"38.636052, -119.489162",0,1,0,71,1,0,1,1,1,1,1,1,1,84.4,5969.3,21,5619,,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,2,1,4,1.19,0,0,1,0
2302,5150-LJNSR,1,United States,California,Tustin,92782,"33.738543, -117.785046",0,1,1,31,1,1,1,0,1,0,1,0,0,98.05,3082.1,80,4524,,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,1,1,3,1.01,0,1,0,0
1422,5228-EXCET,1,United States,California,Newberry Springs,92365,"34.89326, -116.505958",0,0,0,13,1,0,0,0,0,0,0,1,1,80.85,1008.7,85,5964,Lack of self-service on Website,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.04,1,0,0,1.05,0,1,0,1
2375,5760-IFJOZ,1,United States,California,Richgrove,93261,"35.809921, -119.127437",0,0,0,3,1,1,0,1,1,0,1,1,0,107.95,313.6,77,3449,,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.03,2,0,3,1.08,1,0,0,0
3790,3096-YXENJ,1,United States,California,Danville,94506,"37.791481, -121.903253",0,1,0,65,1,1,0,1,1,1,1,1,1,107.65,7082.85,25,4193,,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,2,1,4,1.02,0,0,1,0
609,3870-MQAMG,1,United States,California,Camp Nelson,93208,"36.057458, -118.591951",0,1,0,54,1,1,0,1,1,1,1,1,0,110.35,5893.15,90,6189,Attitude of service provider,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.01,2,0,4,1.04,0,0,1,1
3215,6701-DHKWQ,1,United States,California,Montrose,91020,"34.2112, -118.230625",0,1,0,61,0,0,0,1,1,1,1,0,0,51.35,3244.4,55,4159,,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.97,1,1,3,1.05,0,0,1,0
583,4285-GYRQC,1,United States,California,Newport Beach,92662,"33.606336, -117.893042",0,1,0,7,1,0,0,0,1,0,1,0,1,86.25,587.1,89,3344,Attitude of support person,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.03,1,0,1,1.0,1,0,0,1
308,5673-FSSMF,1,United States,California,Delhi,95315,"37.422961, -120.765493",0,0,0,1,1,1,0,0,0,0,0,1,1,60.15,60.15,91,4611,Attitude of support person,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,1,1.12,1,0,0,1
2871,3084-DOWLE,1,United States,California,Citrus Heights,95621,"38.69549, -121.307864",0,1,0,72,1,1,1,1,1,1,1,1,0,92.0,6474.4,42,6434,,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.02,2,1,5,1.18,0,0,1,0
4758,9938-ZREHM,1,United States,California,Oxnard,93033,"34.156629, -119.117218",0,1,0,37,1,1,0,1,0,1,0,1,0,72.1,2658.4,50,2703,,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,3,1.1,0,1,0,0
1691,3259-FDWOY,1,United States,California,Elk Grove,95758,"38.35363, -121.44195",0,1,0,71,1,1,0,1,1,0,1,1,1,106.0,7723.7,81,4072,Competitor offered higher download speeds,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.97,2,1,3,1.06,0,0,1,1
5632,6421-SZVEM,1,United States,California,Carson,90745,"33.822295, -118.26411",0,1,1,28,1,0,1,0,0,0,0,1,1,82.85,2320.8,75,5802,,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,1,1.03,0,1,0,0
782,3801-HMYNL,1,United States,California,Brooks,95606,"38.809804, -122.241383",0,1,0,1,1,0,0,0,0,0,1,1,0,89.15,89.15,68,3123,Long distance charges,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,2,0,0,1.16,1,0,0,1
3225,8286-AFUYI,1,United States,California,Glendale,91203,"34.153338, -118.262974",0,0,0,1,1,0,1,0,0,0,0,0,0,47.95,47.95,35,5092,,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,1,0.97,1,0,0,0
5067,3244-CQPHU,1,United States,California,Berkeley,94710,"37.872902, -122.303708",1,0,0,72,1,1,1,1,0,1,1,1,1,110.1,7746.7,57,5232,,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02,2,1,4,1.11,0,0,1,0
5986,5063-IUOKK,1,United States,California,Santa Barbara,93111,"34.460197, -119.802602",0,0,0,13,1,0,0,0,0,0,0,0,0,19.75,265.75,41,2016,,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.97,0,0,0,1.08,0,1,0,0
3684,5968-HYJRZ,1,United States,California,Kerman,93630,"36.727418, -120.123526",0,1,1,47,1,1,0,0,0,0,0,0,0,24.55,1160.45,78,3629,,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.99,0,0,1,0.95,0,1,0,0
2402,7929-DMBCV,1,United States,California,Arroyo Grande,93420,"35.176236, -120.483243",0,1,0,20,1,0,0,0,1,1,0,0,1,81.0,1683.7,22,4741,,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.96,0,0,2,0.88,0,1,0,0
7041,4801-JZAZL,1,United States,California,Angelus Oaks,92305,"34.1678, -116.86433",0,1,1,11,0,0,1,0,0,0,0,0,1,29.6,346.45,59,2793,,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.94,0,0,1,0.95,1,0,0,0
1716,5889-LFOLL,1,United States,California,Canby,96015,"41.486953, -120.913975",0,0,0,13,1,1,0,0,0,0,0,1,1,84.6,1115.2,77,2659,Competitor offered more data,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.99,1,0,1,1.0,0,1,0,1
6948,0508-SQWPL,1,United States,California,La Mesa,91941,"32.759327, -116.99726",0,1,1,57,1,0,0,0,0,0,0,0,1,20.1,1087.7,23,5506,,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.05,0,1,0,1.1,0,0,1,0
1871,7795-CFOCW,1,United States,California,Los Angeles,90004,"34.076259, -118.310715",0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,66,4307,,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.03,0,1,3,0.91,0,1,0,0
5939,1716-LSAMB,1,United States,California,Santa Ana,92701,"33.748478, -117.858918",0,1,1,45,1,0,1,0,0,1,0,0,0,54.65,2553.7,39,5083,,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.96,0,1,2,0.99,0,1,0,0
5184,3120-FAZKD,1,United States,California,El Portal,95318,"37.654551, -119.822984",0,1,1,54,1,1,0,0,0,0,0,0,1,24.05,1230.9,41,4039,,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.06,0,1,1,0.93,0,0,1,0
6659,0572-ZJKLT,1,United States,California,Chester,96020,"40.243494, -121.154733",0,1,1,46,1,1,1,0,1,1,0,1,0,99.65,4630.2,58,4736,,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,1,0,4,0.96,0,1,0,0
2521,4713-ZBURT,1,United States,California,Brisbane,94005,"37.684694, -122.40712",0,0,1,45,1,1,0,0,1,0,1,1,0,99.7,4634.35,38,3333,,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.97,2,1,2,1.06,0,1,0,0
1938,4767-HZZHQ,1,United States,California,Redondo Beach,90277,"33.830453, -118.384565",0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,9,5036,,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.96,0,1,2,0.89,0,1,0,0
4593,7032-LMBHI,1,United States,California,Blythe,92225,"33.674583, -114.71612",0,0,0,37,1,1,1,0,0,0,1,0,0,64.65,2347.85,45,5255,,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.02,1,1,2,1.13,0,1,0,0
4340,1335-HQMKX,1,United States,California,Los Angeles,90044,"33.952714, -118.292061",0,1,0,72,1,1,0,1,1,0,1,1,1,101.35,7323.15,25,4497,,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2,0,3,1.01,0,0,1,0
6194,6603-YRDCJ,1,United States,California,San Francisco,94124,"37.731505, -122.384532",0,1,0,33,1,0,1,1,0,1,0,0,1,61.05,2018.4,21,3215,,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,3,1.0,0,1,0,0
4033,5322-ZSMZY,1,United States,California,Lower Lake,95457,"38.925545, -122.549083",0,1,1,31,1,1,0,0,0,0,0,0,0,25.75,755.6,32,5472,,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.06,0,0,1,1.0,0,1,0,0
4613,6823-SIDFQ,1,United States,California,Parker Dam,92267,"34.273872, -114.192901",0,0,0,28,1,0,0,0,0,0,0,0,0,18.25,534.7,67,5327,,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.96,0,1,0,1.0,0,1,0,0
236,4750-ZRXIU,1,United States,California,Palo Alto,94304,"37.386978, -122.177746",1,0,0,4,1,1,0,0,0,0,0,1,1,84.6,360.1,83,2467,Lack of self-service on Website,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.94,1,0,1,1.0,1,0,0,1
4496,0895-LNKRC,1,United States,California,El Monte,91732,"34.074492, -118.01462",0,1,1,6,1,0,0,0,0,0,0,0,0,19.45,113.5,43,3461,,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.03,0,0,0,1.07,1,0,0,0
5482,8404-GFGCZ,1,United States,California,Millville,96062,"40.531257, -122.148139",0,1,0,4,1,1,0,0,1,0,1,0,0,65.6,250.1,44,4552,,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.05,1,0,2,1.04,1,0,0,0
4842,4054-CUMIA,1,United States,California,San Miguel,93451,"35.886767, -120.608661",0,1,1,18,1,0,0,0,0,0,0,0,1,20.25,401.95,40,2429,,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.91,0,0,0,1.11,0,1,0,0
1881,9959-WOFKT,1,United States,California,Los Angeles,90019,"34.049841, -118.33846",0,0,0,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,73,4479,,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.03,2,1,3,1.09,0,0,1,0
1192,0378-TOVMS,1,United States,California,Vernalis,95385,"37.609095, -121.263381",0,0,0,3,1,0,0,0,0,1,0,1,0,85.8,272.2,89,5641,Extra data charges,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.95,1,0,1,1.03,1,0,0,1
1925,2673-CXQEU,1,United States,California,Gardena,90247,"33.890853, -118.297967",1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,21,4463,,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01,2,0,4,1.07,0,0,1,0
1480,4818-DRBQT,1,United States,California,Farmersville,93223,"36.29878, -119.201028",0,1,0,29,1,1,0,1,0,0,0,0,1,80.15,2265.25,83,5189,Attitude of support person,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.03,0,1,2,0.89,0,1,0,1
2166,5876-QMYLD,1,United States,California,Earp,92242,"34.137742, -114.36514",0,1,0,23,1,0,0,0,0,0,0,0,0,20.05,415.1,9,3742,,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.11,0,0,0,1.1,0,1,0,0
4338,0384-LPITE,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",0,0,0,40,0,0,1,1,1,0,1,1,0,62.05,2511.55,34,2290,,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.99,2,1,3,1.33,0,1,0,0
263,4822-RVYBB,1,United States,California,Berkeley,94704,"37.871416, -122.246597",1,0,0,8,1,1,0,0,1,0,1,1,1,100.6,819.4,90,5906,Competitor offered higher download speeds,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.98,2,0,2,1.07,1,0,0,1
3088,8189-HBVRW,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",0,0,0,53,1,1,1,1,1,0,0,0,0,90.8,4921.2,20,5249,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.98,0,0,4,0.88,0,0,1,0
1372,1981-INRFU,1,United States,California,Boulevard,91905,"32.677097, -116.304991",0,0,0,2,1,0,0,0,0,0,1,0,1,79.75,164.5,98,5172,Don't know,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.97,1,0,0,1.04,1,0,0,1
